Part Name,,Source, Catalog Number,Link, Quantity
    U8,Teensy4.1,Digikey,,,1
    U7,MCP3561,Digikey,MCP3561RT-E/ST,https://www.digikey.com/en/products/detail/microchip-technology/MCP3561RT-E-ST/12807296,1
">  U5, U6",ADP3330-3.3,Digikey,ADP3330ARTZ3.3-RL7CT-ND,https://www.digikey.com/en/products/detail/analog-devices-inc/ADP3330ARTZ3-3-RL7/1007321?s=N4IgTCBcDaIIIBEAKBmNAGOAlAKgLRQDoUBaLAGQHYBhHEgOQRAF0BfIA,2
    U4,ADR366,Digikey,ADR366AUJZ-REEL7,https://www.digikey.com/en/products/detail/analog-devices-inc/ADR366AUJZ-REEL7/996001,1
    U3,TLV9051,Digikey,TLV9051IDBVR,https://www.digikey.com/en/products/detail/texas-instruments/TLV9051IDBVR/10715425,1
FL1-3,LCL Filter,Digikey,490-6957-1-ND,https://www.digikey.com/en/products/detail/murata-electronics/NFL21SP157X1C3D/2595155?s=N4IgTCBcDaICwE4AMBaAbAgrAdhQRhQDkAREAXQF8g,3
>  R8-R12,10R,Digikey,,,4
">  R3, R6",1k,Digikey,,,2
    R7,100R,Digikey,,,1
    R5,3k,Digikey,,,1
">  R1, R4",10k,Digikey,,,2
    R2,320R,Digikey,,,1
    J8,Screw_Terminal_01x02,Digikey,,,1
    J5,Conn_01x04,Digikey,,,1
    J7,Conn_01x10_Male,Digikey,,,1
">  J3, J4, J6",Conn_02x03_Counter_Clockwise,Digikey,,,3
    J1,Conn_Coaxial,Digikey,,,1
    J2,Conn_Coaxial,Digikey,,,1
>  H1-H4,MountingHole,Digikey,,,4
">  FL1, FL2",EMI_Filter_LCL,Digikey,,,2
    D1,DIODE,Digikey,,,1
    C7,100nF,Digikey,,,1
">  C1-C6, C8-C10",470nF,Digikey,,,9
